DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,param_vs0_mean,param_k_mean,param_n_mean,param_vs0_med,param_k_med,param_n_med,param_vs0_std,param_k_std,param_n_std,param_vs0_prc0.16,param_k_prc0.16,param_n_prc0.16,param_vs0_prc0.84,param_k_prc0.84,param_n_prc0.84,sigma_vel_mean,sigma_vel_med,sigma_vel_std,sigma_vel_prc0.16,sigma_vel_prc0.84
1,Shi_Asimaki_2018,11,880,360.7313406627293,42.2,37.783,-121.617,621.7836050955035,4182.639469683892,212.09703870332066,0.3034712163203136,2.3956167184666666,212.149,0.30316,2.395385,0.01967018275252737,0.11683651229529886,0.05283508801437896,207.987,0.27014,2.34291,216.282,0.340829,2.44826,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,12,889,385.8727148941916,23.3,37.6978,-121.6834,616.0693031154793,4173.101725219894,227.02831852993324,0.35070056065596455,2.5770767122333336,227.081,0.350383,2.5769,0.021464607205485087,0.12997093342605176,0.05896015506754238,222.231,0.30822284,2.51817,231.924,0.399038,2.63574,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,13,897,238.92651160118305,91.81,37.98,-122.353,556.8205911272879,4203.793413333226,136.80464010295037,0.16356488382224724,1.6168096493,136.839,0.163341,1.61614,0.014894299090336844,0.09010310285642636,0.04540250145836084,134.798,0.149526,1.57162,138.85,0.17885716,1.66203,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,14,898,241.21792149655985,90.95,37.979,-122.355,556.6457147249561,4203.681241175716,138.2423399494087,0.16517915978161288,1.6292304911999995,138.277,0.164954,1.62855,0.014888541161403594,0.09020766690363471,0.04553117285355571,136.214,0.150994,1.58393,140.308,0.180635,1.67459,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,15,899,271.66234036172824,90.95,37.978,-122.357,556.470833554795,4203.569072831866,157.3438080408795,0.1896624626557684,1.8038672246999996,157.383,0.18943549999999998,1.80335,0.01522988308004112,0.09241116411296126,0.04656801755072842,154.981,0.17300884,1.75754,159.744,0.207851,1.85037,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,16,908,389.8252011911845,49.2,37.8123,-122.3616,556.1926643115651,4185.181578797135,229.3519181461186,0.358871301656286,2.6059417396666666,229.404,0.358528,2.60577,0.021756843900276723,0.1322663016713216,0.060153579193710595,224.439,0.31468484,2.54581,234.366,0.40928016,2.66576,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,17,909,893.6042117302522,34.7,37.8133,-122.3601,556.3239375993797,4185.293432089372,497.19869666823973,4.432429438197808,5.693415262733333,497.0085,4.36979,5.67891,0.04560738308615932,0.5079101663292588,0.35926304413418353,475.13384,2.6804384,5.3392484,520.2731600000001,7.3218132,6.04847,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,18,910,432.0804672146859,48.9,37.8129,-122.361,556.2450223240218,4185.248509909694,253.79782448412487,0.4605073170427767,2.9179765713333343,253.85,0.46005,2.91767,0.024961265645331764,0.1600727698118013,0.07643185597112094,247.567,0.39282984,2.84182,260.187,0.5399621600000001,2.99382,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,19,911,1824.4425061285065,51.7,37.8125,-122.3591,556.412567155453,4185.205275056724,971.314429887934,21.925991626442187,7.472805217066665,970.373,21.0014,7.42218,0.052295576958007975,0.8127870980948266,0.7223507982369701,921.997,9.8734208,6.7649784,1023.0116,48.66802000000001,8.17983,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,20,912,802.4163740544855,65.4,37.814,-122.3588,556.4378317762236,4185.371881634211,450.41563171981,3.1597077599805217,5.288114351,450.305,3.125325,5.27723,0.04371544640606643,0.45069045623995363,0.30391749021833675,431.207,2.0215868,4.9887968,470.45,4.9356016,5.58939,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,21,913,340.411758359244,60.6,37.8166,-122.3627,556.0925864501992,4185.658004190103,199.84179512511255,0.27078983114467337,2.2524625411666666,199.886,0.2705,2.25208,0.01833652409494744,0.10822997791086703,0.049697439417154606,196.233,0.243122,2.20297,203.514,0.30152,2.30201,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,22,935,216.9385194479297,33.18,37.8033,-122.4417,549.1480797851683,4184.137888302747,123.04237679570741,0.1495216239462843,1.5031982961333334,123.073,0.149293,1.5024,0.015180353988403193,0.08930926005121141,0.04367654884059955,121.199,0.136789,1.4597084,124.915,0.163373,1.54667,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,23,944,317.87346823094003,61.4,37.8258,-122.2669,564.5166163963995,4186.740583988538,186.06540191737727,0.2395999004589939,2.0985120098,186.111,0.239334,2.09803,0.01703579354049094,0.1008891533860127,0.04780271996729377,182.943,0.21671984,2.05095,189.237,0.264847,2.1461816000000002,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,24,945,287.5144489870996,61.4,37.8297,-122.2656,564.6276230323592,4187.174191867923,167.25255201906657,0.2048884260232271,1.9013043856666665,167.293,0.204645,1.90083,0.015693687245906578,0.09445318606058026,0.04684551457652255,164.666,0.186518,1.85466,169.885,0.225039,1.94817,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,25,946,264.3449761629772,81.2,37.8253,-122.2658,564.6138594233817,4186.685868685519,152.75745487465414,0.1832341498907124,1.7603285415000003,152.796,0.182992,1.75974,0.015079058722807301,0.09170774208086868,0.04640785527746997,150.488,0.16726984,1.71423,155.066,0.20065716,1.80668,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,26,947,240.4678524808594,151.0,37.8258,-122.2684,564.384606789332,4186.7395491513,137.77168466608242,0.16464745103212994,1.625152969666667,137.806,0.164425,1.62448,0.014889926542303285,0.09017278388634728,0.04549000634441274,135.75084,0.15051684,1.57989,139.83,0.18004915999999999,1.67048,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,27,948,295.28026549861335,81.2,37.2389,-122.2683,564.9000166647296,4121.625640088739,172.08838432069365,0.21303964350969581,1.9504970777666666,172.131,0.212803,1.95005,0.01598428426798806,0.0957564651318637,0.04699643334268377,169.378,0.19367484000000001,1.90376,174.847,0.234311,1.99737,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,28,949,141.72696454361594,61.0,37.8224,-122.3197,559.8726315931519,4186.32820127705,77.29643510156102,0.11767140381203078,1.1992196761333334,77.3219,0.117405,1.19785,0.018976163537203435,0.08573460414920449,0.03025456720223565,75.8489,0.108057,1.16914,78.7703,0.128135,1.22924,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,29,950,518.8851253207366,36.0,37.8081,-122.3661,555.7997260661446,4184.712891646169,302.03032200526684,0.7695889453683976,3.557529853633335,302.082,0.7681525,3.55613,0.031300932674803016,0.22892044513315774,0.12346975909821929,292.752,0.612635,3.4352,311.585,0.96612064,3.68002,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,30,951,1260.7346288076412,54.0,37.8085,-122.3658,555.8258330063705,4184.757450865861,684.8517369484608,11.148205089305375,6.7611989298,684.304,10.84125,6.73152,0.04947444102625833,0.6750519824154179,0.5466668502868975,651.963,5.7356768,6.2231484,719.3251600000001,21.692360000000004,7.2999816,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,31,952,220.49343570125265,57.0,37.807,-122.367,555.7213283786339,4184.590309534346,125.26160452630529,0.15162213027838975,1.5208634753333332,125.293,0.15139350000000001,1.5201,0.015105872038081319,0.08942131036807997,0.04401999495849446,123.395,0.13868684,1.47704,127.159,0.165692,1.56467,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,32,953,366.0192098207716,49.0,37.787,-122.3875,553.9312882280129,4182.359288874404,215.25908072329858,0.31275182257824835,2.4334312871666666,215.31,0.3124075,2.43324,0.020036497764170033,0.11937867687601335,0.05391170032486817,211.012,0.27770784,2.37961,219.589,0.352166,2.48714,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,33,954,491.9743818758139,38.0,37.7881,-122.3878,553.9040735908903,4182.481160507483,287.3241302191773,0.6572861281523467,3.361541572466667,287.371,0.656316,3.36057,0.029429027256742752,0.2065887297259872,0.10760615325105687,279.02,0.535183,3.25465,295.859,0.807246,3.46822,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
1,Shi_Asimaki_2018,34,AGNWE,262.8453088715058,29.8,37.4109,-121.9257,595.0716449047346,4140.997952122348,151.81683196767045,0.18196111873841697,1.751523104266667,151.855,0.181719,1.75092,0.01505334775647382,0.09157955197578915,0.046369952749863545,149.566,0.166132,1.70544,154.108,0.19924916,1.79781,0.37599550483333344,0.375946,0.004522184821181218,0.371506,0.380491
