DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,Depth_MPt,Thk,Vs,flag_Z1,VsProf_mean,res_tot,res_orig
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,27.0,5.0,150.0,False,224.01027179214424,-0.40105661292234984,-2.6941935759412194
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,32.0,5.0,150.0,False,252.59804823592336,-0.5211641890916434,-3.2032612623467536
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,37.0,5.0,300.0,False,280.654434980138,0.06665833086251816,-3.0010479096870935
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,42.0,5.0,440.0,False,308.24943179893404,0.35586542818201217,-3.0921032302916487
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,47.0,5.0,465.0,False,335.43751111480907,0.32660172251504793,-3.495124991138283
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,52.0,5.0,450.0,False,362.26220186853186,0.21687931857382825,-3.971450788913873
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,57.0,5.0,610.0,False,388.75904093640924,0.4504992375162775,-4.096946669894924
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,62.0,5.0,600.0,False,414.957557295757,0.36875341179203147,-4.530190812051419
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,67.0,5.0,585.0,False,440.88265389788586,0.2828330981279841,-4.95999370642062
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,72.0,5.0,615.0,False,466.5555988608213,0.2762450716394502,-5.3029360371947405
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,77.0,5.0,620.0,False,491.9947544156349,0.23125142336050608,-5.676898655279047
3,VSPDB,21,Antioch_Toll_Bridge 2154,131.321132279985,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,82.0,5.0,750.0,False,517.2161246125346,0.3716123833735985,-5.858299496978391
