DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,UTMzone
1,Shi_Asimaki_2018,24,945,287.51444898709957,61.4,37.8297,-122.2656,564.6276230323592,4187.174191867923,10S
1,Shi_Asimaki_2018,25,946,264.3449761629772,81.2,37.8253,-122.2658,564.6138594233817,4186.685868685519,10S
1,Shi_Asimaki_2018,26,947,240.4678524808594,151.0,37.8258,-122.2684,564.384606789332,4186.7395491513,10S
1,Shi_Asimaki_2018,27,948,295.28026549861335,81.2,37.2389,-122.2683,564.9000166647296,4121.625640088739,10S
1,Shi_Asimaki_2018,28,949,141.72696454361594,61.0,37.8224,-122.3197,559.8726315931519,4186.32820127705,10S
1,Shi_Asimaki_2018,29,950,518.8851253207366,36.0,37.8081,-122.3661,555.7997260661446,4184.712891646169,10S
1,Shi_Asimaki_2018,30,951,1260.7346288076412,54.0,37.8085,-122.3658,555.8258330063705,4184.757450865861,10S
1,Shi_Asimaki_2018,31,952,220.49343570125265,57.0,37.807,-122.367,555.7213283786339,4184.590309534346,10S
1,Shi_Asimaki_2018,32,953,366.0192098207716,49.0,37.787,-122.3875,553.9312882280129,4182.359288874404,10S
1,Shi_Asimaki_2018,33,954,491.9743818758139,38.0,37.7881,-122.3878,553.9040735908903,4182.481160507483,10S
1,Shi_Asimaki_2018,34,AGNWE,262.8453088715058,29.8,37.4109,-121.9257,595.0716449047346,4140.997952122348,10S
1,Shi_Asimaki_2018,35,ALV,234.0679245853525,29.7,37.432,-121.9683,591.2759719817464,4143.296812231201,10S
1,Shi_Asimaki_2018,36,AND,488.3380572875549,36.2,37.1641,-121.6315,621.5047276160309,4113.953449945215,10S
1,Shi_Asimaki_2018,37,ANS,189.99233951372915,140.0,37.7865,-122.307,561.0198934952062,4182.3532957364805,10S
1,Shi_Asimaki_2018,38,AP1,112.84170679372389,185.0,37.5462,-122.231,567.9305962671017,4155.744727837436,10S
1,Shi_Asimaki_2018,39,AP2,133.06631269301496,70.0,37.5288,-122.2554,565.7904453817607,4153.796920248385,10S
1,Shi_Asimaki_2018,40,AUS,130.465811070922,27.5,37.5678,-122.2575,565.5707192752723,4158.122346227623,10S
1,Shi_Asimaki_2018,41,AVA,290.7833754836816,29.3,37.6806,-122.4908,544.8997524967475,4170.499848491396,10S
1,Shi_Asimaki_2018,42,BCS,172.37633316079726,87.5,37.7772,-122.4055,552.3532663955974,4181.261754732381,10S
1,Shi_Asimaki_2018,43,BLF,450.45961217756957,25.0,37.3183,-122.0606,583.2354144678197,4130.5970639850875,10S
1,Shi_Asimaki_2018,44,BMT,529.3304779971108,29.3,37.3186,-122.1556,574.8174822298621,4130.5509019264355,10S
1,Shi_Asimaki_2018,45,BPB,126.330632915609,90.0,37.5558,-122.2467,566.535160734818,4156.79858182745,10S
1,Shi_Asimaki_2018,46,BWP,130.6536782794667,29.6,37.5286,-122.2525,566.0468601259826,4153.776763690988,10S
1,Shi_Asimaki_2018,47,CLD,294.6136337490795,29.5,37.1176,-121.5506,628.766798506198,4108.901210755589,10S
1,Shi_Asimaki_2018,48,CMS,288.4495672860414,27.0,37.7764,-122.4042,552.4683143521244,4181.17372373597,10S
1,Shi_Asimaki_2018,49,COL,275.41256646398085,21.5,37.7722,-122.5033,543.7436219689384,4180.656767945217,10S
1,Shi_Asimaki_2018,50,COY,232.88593277043174,184.5,37.3367,-121.8688,600.2059271175032,4132.8246459617785,10S
1,Shi_Asimaki_2018,51,COZ,267.66548317738096,30.5,37.4842,-122.3886,554.0533448409777,4148.763957927769,10S
1,Shi_Asimaki_2018,52,CRD,513.7056849912433,30.0,37.4486,-122.2522,566.1438725483066,4144.901382281867,10S
1,Shi_Asimaki_2018,53,CSH,520.794446901956,25.6,37.6569,-122.0603,582.8869979326869,4168.163751066375,10S
1,Shi_Asimaki_2018,54,CSM,634.5326674346101,29.5,37.5383,-122.3333,558.8998959127551,4154.799257922541,10S
1,Shi_Asimaki_2018,55,CTM,379.7350395940856,30.3,37.3592,-122.2169,569.3486018764003,4135.008392139631,10S
1,Shi_Asimaki_2018,56,CVR,476.9511902905178,57.1,37.4529,-121.8067,605.544097668845,4145.784382340977,10S
1,Shi_Asimaki_2018,57,DIG,387.2084646593814,30.0,37.4981,-122.4244,550.8788395111405,4150.286126592528,10S
1,Shi_Asimaki_2018,58,ELG,858.57412139013,30.0,37.5231,-122.4547,548.1844449519995,4153.043781955762,10S
1,Shi_Asimaki_2018,59,EMB,168.6491788788341,80.0,37.7957,-122.3941,553.3438902704963,4183.32076502356,10S
1,Shi_Asimaki_2018,60,FHP,560.1449727208574,29.0,37.3506,-122.1744,573.1206633473847,4134.0863467689815,10S
1,Shi_Asimaki_2018,61,FMT,284.40988383191024,45.0,37.5353,-121.93,594.5342685037002,4154.795458447047,10S
1,Shi_Asimaki_2018,62,FRC,471.5298752639357,29.2,37.4939,-122.4339,550.04190413062,4149.815068718741,10S
1,Shi_Asimaki_2018,63,HAM,105.8629425567646,25.4,38.0602,-122.4934,544.4418827837833,4212.615495163711,10S
1,Shi_Asimaki_2018,64,HBT,346.43005076088656,29.6,37.5156,-122.4972,544.4334305932607,4152.190779164438,10S
1,Shi_Asimaki_2018,65,HCH,734.1326909682533,29.6,37.681,-122.0812,581.0172503095288,4170.819365244041,10S
1,Shi_Asimaki_2018,66,HLR3,234.0978605810626,120.0,37.4782,-122.1478,575.3486428437961,4148.263765173575,10S
1,Shi_Asimaki_2018,67,HVW,369.30061337473626,26.6,37.6917,-122.495,544.5227705455741,4171.729359340029,10S
1,Shi_Asimaki_2018,68,HWS,193.4504376997153,27.5,37.61,-122.09,580.3176957376218,4162.934417607102,10S
1,Shi_Asimaki_2018,69,JMS,274.61031532192465,29.4,37.6567,-122.084,580.7966908231493,4168.120876903539,10S
1,Shi_Asimaki_2018,70,KGEI,114.67808622005539,28.8,37.5439,-122.235,567.5793220216804,4155.486669142196,10S
1,Shi_Asimaki_2018,71,LFY,169.67486054423384,38.6,37.9447,-122.5105,543.0091734029844,4199.792371276086,10S
1,Shi_Asimaki_2018,72,LMC,460.06086792293615,29.3,37.695,-122.4733,546.4338827279703,4172.106017774787,10S
1,Shi_Asimaki_2018,73,LVI,196.9481537965248,42.5,37.802,-122.399,552.9079927541492,4184.016964176823,10S
1,Shi_Asimaki_2018,74,LWD,218.7671785839073,25.0,37.568,-122.0664,582.4470273315494,4158.295050227191,10S
1,Shi_Asimaki_2018,75,MAR,483.72444143890317,28.3,37.3306,-122.0825,581.2816723631094,4131.942599838981,10S
1,Shi_Asimaki_2018,76,MCP,249.10586919859486,30.0,37.4197,-122.11,578.7521669237108,4141.804391198311,10S
1,Shi_Asimaki_2018,77,MEC,787.1021649984567,28.7,37.7875,-122.1639,573.6193190280663,4182.567275205228,10S
1,Shi_Asimaki_2018,78,MES,307.005895498754,28.0,37.8086,-122.2786,563.5016749934799,4184.824214237423,10S
1,Shi_Asimaki_2018,79,MGS,299.6757798776422,30.0,37.3408,-121.9828,590.1021830758342,4133.164671728428,10S
1,Shi_Asimaki_2018,80,MLS,454.5999485541683,29.3,37.3014,-122.01,587.7385756443277,4128.767888377237,10S
1,Shi_Asimaki_2018,81,MPK,730.5153718907784,29.8,37.52,-121.8731,599.5818757134732,4153.156669687678,10S
