DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,param_vs0_mean,param_k_mean,param_n_mean,param_vs0_med,param_k_med,param_n_med,param_vs0_std,param_k_std,param_n_std,param_vs0_prc0.16,param_k_prc0.16,param_n_prc0.16,param_vs0_prc0.84,param_k_prc0.84,param_n_prc0.84,param_dBr_mean,param_dBr_med,param_dBr_std,param_dBr_prc0.16,param_dBr_prc0.84,sigma_vel_mean,sigma_vel_med,sigma_vel_std,sigma_vel_prc0.16,sigma_vel_prc0.84,ell_dBr_mean,ell_dBr_med,ell_dBr_std,ell_dBr_prc0.16,ell_dBr_prc0.84,omega_dBr_mean,omega_dBr_med,omega_dBr_std,omega_dBr_prc0.16,omega_dBr_prc0.84
1,Shi_Asimaki_2018,12,889,385.8727148941916,23.3,37.6978,-121.6834,616.0693031154793,4173.101725219894,230.16644304809688,0.32816235517486075,2.5778600000000007,230.717,0.327671,2.57786,0.07420013748938362,0.31925417981309834,7.211132608109679e-12,213.75,0.23923284,2.57786,247.764,0.45087416,2.57786,0.12911788951216546,0.12829,0.3126671914422039,-0.18093959999999995,0.4398062000000001,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,13,897,238.92651160118305,91.81,37.98,-122.353,556.8205911272879,4203.793413333226,174.10285059067513,0.06365594378963307,1.6167000000000014,174.37,0.0637067,1.6167,0.04045130207411702,0.18874668055684857,9.34209823318754e-12,167.267,0.052788252,1.6167,181.229,0.076755316,1.6167,-0.67727291189491,-0.676734,0.19410121551755694,-0.86922048,-0.48441,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,14,898,241.21792149655985,90.95,37.979,-122.355,556.6457147249561,4203.681241175716,176.82407859847206,0.06259146523932815,1.629150000000001,177.076,0.06263415,1.62915,0.038333606408485016,0.1815181370891787,5.649268253957583e-12,170.221,0.0522802,1.62915,183.678,0.074960816,1.62915,-0.704907262812073,-0.7041744999999999,0.1872591764564343,-0.89074816,-0.518508,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,15,899,271.66234036172824,90.95,37.978,-122.357,556.470833554795,4203.569072831866,198.98124939233074,0.07239018531295213,1.8041199999999993,199.278,0.0724585,1.80412,0.04038283923589192,0.19640843519273318,1.0346851745063887e-11,191.162,0.059587584,1.80412,207.111,0.087981248,1.80412,-0.7109149908747232,-0.710056,0.20115115668814365,-0.910839,-0.51127136,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,16,908,389.8252011911845,49.2,37.8123,-122.3616,556.1926643115651,4185.181578797135,179.85517268054107,0.951319417786474,2.6067299999999993,180.032,0.94919,2.60673,0.061058980444694495,0.23544336813825364,4.769526063006402e-13,169.26384000000002,0.752705,2.60673,191.13,1.2018716,2.60673,1.1683482800805665,1.16643,0.23819595242206154,0.93188368,1.40493,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,17,909,893.6042117302522,34.7,37.8133,-122.3601,556.3239375993797,4185.293432089372,424.7910664416551,13.354783100358532,5.694729999999995,424.9145,13.32205,5.69473,0.03592352832138822,0.25417291781248547,3.435479853204611e-11,409.896,10.3745,5.69473,440.233,17.1896,5.69473,1.0785100641186667,1.076015,0.24224466888147975,0.8379894400000001,1.3188,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,18,910,432.0804672146859,48.9,37.8129,-122.361,556.2450223240218,4185.248509909694,202.94062653252016,1.204819597128145,2.9188199999999975,203.107,1.20223,2.91882,0.056487091061899454,0.23525795973236965,1.3733925793718434e-11,191.853,0.95395084,2.91882,214.655,1.52211,2.91882,1.1328181912603335,1.13083,0.23768168595244535,0.89710884,1.3686416000000001,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,19,911,1824.4425061285065,51.7,37.8125,-122.3591,556.412567155453,4185.205275056724,851.9952504333331,68.8459751894189,7.438430000000003,852.136,68.69295,7.43843,0.030154981810308727,0.27476654749997786,4.4594624599159855e-11,826.8448400000001,52.428752,7.43843,877.858,90.45188,7.43843,1.0312736370220335,1.028425,0.2455639720393775,0.78785572,1.27486,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,20,912,802.4163740544855,65.4,37.814,-122.3588,556.4378317762236,4185.371881634211,387.7039770244235,8.486585089355897,5.290429999999996,387.871,8.46055,5.29043,0.038982301403061845,0.25805229776663086,3.291417073424418e-11,372.97684,6.5635084,5.29043,403.058,10.9649,5.29043,0.9909196822642998,0.9880935,0.24927769770048322,0.743993,1.2384,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
1,Shi_Asimaki_2018,21,913,340.411758359244,60.6,37.8166,-122.3627,556.0925864501992,4185.658004190103,162.84015862951375,0.580134322342892,2.25316,163.085,0.5785325,2.25316,0.06664891326055801,0.23790682947253394,1.6067174391021567e-12,152.456,0.45803,2.25316,173.999,0.73382932,2.25316,0.9809907440199,0.978826,0.24067662681467417,0.7415877200000001,1.21936,0.28072392639,0.280674,0.0037504413048446844,0.276992,0.284455,1.9471091645466665,1.91037,0.335655143057366,1.62516,2.2663416,0.31594909615333333,0.31597149999999996,0.018147070249379574,0.297902,0.333952
